modelo,MAE_particion_fija,RMSE_particion_fija,MAPE_particion_fija,MAE_rolling_consolidado,RMSE_rolling_consolidado,MAPE_rolling_consolidado,diferencia_MAE,diferencia_RMSE,diferencia_MAPE
LSTM,0.22580233287405463,0.680035083577521,6.970045648974402,0.20101058624109305,0.6745659405534737,6.791445436016594,-0.024791746632961575,-0.005469143024047218,-0.17860021295780815
Línea base de persistencia,0.2203526316489362,0.7031081857765589,6.365673004701298,0.2203526316489362,0.7031081857765589,6.365673004701298,0.0,0.0,0.0
Random Forest,0.1938480375914752,0.6417904678205829,6.509058886115213,0.18755185183204207,0.6439082374726252,6.472612046802677,-0.006296185759433137,0.002117769652042245,-0.03644683931253567
XGBoost,0.19867189539544122,0.6465565194144192,6.565957504358533,0.22990372676662688,0.8115007169557902,7.412076278342024,0.031231831371185653,0.16494419754137102,0.8461187739834912
