fecha_hora,fecha_objetivo,unidad,real,prediccion,modelo,ventana
2025-03-14 22:30:00,2025-03-14 22:45:00,G1,10.386352,9.725832,Línea base de persistencia,4
2025-03-14 22:30:00,2025-03-14 22:45:00,G2,12.369125,12.354505,Línea base de persistencia,4
2025-03-14 22:45:00,2025-03-14 23:00:00,G1,10.17184,10.386352,Línea base de persistencia,4
2025-03-14 22:45:00,2025-03-14 23:00:00,G2,12.41646,12.369125,Línea base de persistencia,4
2025-03-14 23:00:00,2025-03-15 18:00:00,G1,10.217565,10.17184,Línea base de persistencia,4
2025-03-14 23:00:00,2025-03-15 18:00:00,G2,12.387942,12.41646,Línea base de persistencia,4
2025-03-15 18:00:00,2025-03-15 18:15:00,G1,10.159828,10.217565,Línea base de persistencia,4
2025-03-15 18:00:00,2025-03-15 18:15:00,G2,12.347687,12.387942,Línea base de persistencia,4
2025-03-15 18:15:00,2025-03-15 18:30:00,G1,10.249372,10.159828,Línea base de persistencia,4
2025-03-15 18:15:00,2025-03-15 18:30:00,G2,12.360397,12.347687,Línea base de persistencia,4
2025-03-15 18:30:00,2025-03-15 18:45:00,G1,10.272835,10.249372,Línea base de persistencia,4
2025-03-15 18:30:00,2025-03-15 18:45:00,G2,12.603323,12.360397,Línea base de persistencia,4
2025-03-15 18:45:00,2025-03-15 19:00:00,G1,9.866293,10.272835,Línea base de persistencia,4
2025-03-15 18:45:00,2025-03-15 19:00:00,G2,12.401898,12.603323,Línea base de persistencia,4
2025-03-15 19:00:00,2025-03-15 19:15:00,G1,10.327835,9.866293,Línea base de persistencia,4
2025-03-15 19:00:00,2025-03-15 19:15:00,G2,12.517622,12.401898,Línea base de persistencia,4
2025-03-15 19:15:00,2025-03-15 19:30:00,G1,9.75209,10.327835,Línea base de persistencia,4
2025-03-15 19:15:00,2025-03-15 19:30:00,G2,12.6174,12.517622,Línea base de persistencia,4
2025-03-15 19:30:00,2025-03-15 19:45:00,G1,10.34029,9.75209,Línea base de persistencia,4
2025-03-15 19:30:00,2025-03-15 19:45:00,G2,12.533745,12.6174,Línea base de persistencia,4
2025-03-15 19:45:00,2025-03-15 20:00:00,G1,10.046392,10.34029,Línea base de persistencia,4
2025-03-15 19:45:00,2025-03-15 20:00:00,G2,12.288092,12.533745,Línea base de persistencia,4
2025-03-15 20:00:00,2025-03-15 20:15:00,G1,10.445647,10.046392,Línea base de persistencia,4
2025-03-15 20:00:00,2025-03-15 20:15:00,G2,12.38413,12.288092,Línea base de persistencia,4
2025-03-15 20:15:00,2025-03-15 20:30:00,G1,10.148305,10.445647,Línea base de persistencia,4
2025-03-15 20:15:00,2025-03-15 20:30:00,G2,12.37875,12.38413,Línea base de persistencia,4
2025-03-15 20:30:00,2025-03-15 20:45:00,G1,9.753813,10.148305,Línea base de persistencia,4
2025-03-15 20:30:00,2025-03-15 20:45:00,G2,12.401015,12.37875,Línea base de persistencia,4
2025-03-15 20:45:00,2025-03-15 21:00:00,G1,10.221803,9.753813,Línea base de persistencia,4
2025-03-15 20:45:00,2025-03-15 21:00:00,G2,12.380315,12.401015,Línea base de persistencia,4
2025-03-15 21:00:00,2025-03-15 21:15:00,G1,10.184965,10.221803,Línea base de persistencia,4
2025-03-15 21:00:00,2025-03-15 21:15:00,G2,12.37333,12.380315,Línea base de persistencia,4
2025-03-15 21:15:00,2025-03-15 21:30:00,G1,10.212177,10.184965,Línea base de persistencia,4
2025-03-15 21:15:00,2025-03-15 21:30:00,G2,12.349348,12.37333,Línea base de persistencia,4
2025-03-15 21:30:00,2025-03-15 21:45:00,G1,10.072453,10.212177,Línea base de persistencia,4
2025-03-15 21:30:00,2025-03-15 21:45:00,G2,12.398465,12.349348,Línea base de persistencia,4
2025-03-15 21:45:00,2025-03-15 22:00:00,G1,10.201752,10.072453,Línea base de persistencia,4
2025-03-15 21:45:00,2025-03-15 22:00:00,G2,12.342303,12.398465,Línea base de persistencia,4
2025-03-15 22:00:00,2025-03-15 22:15:00,G1,9.916165,10.201752,Línea base de persistencia,4
2025-03-15 22:00:00,2025-03-15 22:15:00,G2,12.385497,12.342303,Línea base de persistencia,4
2025-03-15 22:15:00,2025-03-15 22:30:00,G1,9.989323,9.916165,Línea base de persistencia,4
2025-03-15 22:15:00,2025-03-15 22:30:00,G2,12.35112,12.385497,Línea base de persistencia,4
2025-03-15 22:30:00,2025-03-15 22:45:00,G1,10.25887,9.989323,Línea base de persistencia,4
2025-03-15 22:30:00,2025-03-15 22:45:00,G2,12.53553,12.35112,Línea base de persistencia,4
2025-03-15 22:45:00,2025-03-15 23:00:00,G1,10.21199,10.25887,Línea base de persistencia,4
2025-03-15 22:45:00,2025-03-15 23:00:00,G2,12.426403,12.53553,Línea base de persistencia,4
2025-03-15 23:00:00,2025-03-16 18:00:00,G1,9.791692,10.21199,Línea base de persistencia,4
2025-03-15 23:00:00,2025-03-16 18:00:00,G2,12.309822,12.426403,Línea base de persistencia,4
2025-03-16 18:00:00,2025-03-16 18:15:00,G1,10.485352,9.791692,Línea base de persistencia,4
2025-03-16 18:00:00,2025-03-16 18:15:00,G2,12.248527,12.309822,Línea base de persistencia,4
2025-03-16 18:15:00,2025-03-16 18:30:00,G1,10.55849,10.485352,Línea base de persistencia,4
2025-03-16 18:15:00,2025-03-16 18:30:00,G2,12.112647,12.248527,Línea base de persistencia,4
2025-03-16 18:30:00,2025-03-16 18:45:00,G1,9.80509,10.55849,Línea base de persistencia,4
2025-03-16 18:30:00,2025-03-16 18:45:00,G2,11.905055,12.112647,Línea base de persistencia,4
2025-03-16 18:45:00,2025-03-16 19:00:00,G1,10.297042,9.80509,Línea base de persistencia,4
2025-03-16 18:45:00,2025-03-16 19:00:00,G2,12.328053,11.905055,Línea base de persistencia,4
2025-03-16 19:00:00,2025-03-16 19:15:00,G1,10.51008,10.297042,Línea base de persistencia,4
2025-03-16 19:00:00,2025-03-16 19:15:00,G2,12.463102,12.328053,Línea base de persistencia,4
