modelo,ventana,unidad,MAE,RMSE,MAPE,tiempo_segundos,inicio_prueba,fin_prueba,n_observaciones
Línea base de persistencia,4,G1,0.27520655851063835,0.6044401689211081,4.517176737045586,5.4100004490464926e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Línea base de persistencia,4,G2,0.16549870478723408,0.7895405778087852,8.214169272357012,5.4100004490464926e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Línea base de persistencia,4,Agregado,0.2203526316489362,0.7031081857765589,6.365673004701298,5.4100004490464926e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Random Forest,4,G1,0.2517801127759818,0.6496858850117887,5.321078413209364,0.877410899993265,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Random Forest,4,G2,0.1374180288226881,0.6322040243390475,7.6922476296958875,0.877410899993265,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Random Forest,4,Agregado,0.19459907079933497,0.6410045544198723,6.506663021452626,0.877410899993265,2025-03-13 21:00:00,2025-03-31 22:45:00,752
XGBoost,4,G1,0.25379424182778215,0.6500878114311219,5.307585533343757,0.18962289999763016,2025-03-13 21:00:00,2025-03-31 22:45:00,376
XGBoost,4,G2,0.1405357831277238,0.6362683266487451,7.693016491290683,0.18962289999763016,2025-03-13 21:00:00,2025-03-31 22:45:00,376
XGBoost,4,Agregado,0.197165012477753,0.6432151840821624,6.50030101231722,0.18962289999763016,2025-03-13 21:00:00,2025-03-31 22:45:00,752
LSTM,4,G1,0.24551850769497485,0.658294205521638,5.423942098434796,8.00824479998846,2025-03-13 21:00:00,2025-03-31 22:45:00,376
LSTM,4,G2,0.1522369703354531,0.6645136509195627,7.99021708813406,8.00824479998846,2025-03-13 21:00:00,2025-03-31 22:45:00,376
LSTM,4,Agregado,0.19887773901521397,0.6614112386714528,6.707079593284428,8.00824479998846,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Línea base de persistencia,12,G1,0.27520655851063835,0.6044401689211081,4.517176737045586,5.709999823011458e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Línea base de persistencia,12,G2,0.16549870478723408,0.7895405778087852,8.214169272357012,5.709999823011458e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Línea base de persistencia,12,Agregado,0.2203526316489362,0.7031081857765589,6.365673004701298,5.709999823011458e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Random Forest,12,G1,0.24815228670067457,0.6436348668061593,5.2477052109609925,1.7492639999982202,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Random Forest,12,G2,0.13954378848227583,0.6399407530405786,7.770412561269434,1.7492639999982202,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Random Forest,12,Agregado,0.1938480375914752,0.6417904678205829,6.509058886115213,1.7492639999982202,2025-03-13 21:00:00,2025-03-31 22:45:00,752
XGBoost,12,G1,0.25452081482079686,0.6469276971295672,5.307785317198439,0.24279179998848122,2025-03-13 21:00:00,2025-03-31 22:45:00,376
XGBoost,12,G2,0.14282297597008559,0.6461851284896701,7.8241296915186265,0.24279179998848122,2025-03-13 21:00:00,2025-03-31 22:45:00,376
XGBoost,12,Agregado,0.19867189539544122,0.6465565194144192,6.565957504358533,0.24279179998848122,2025-03-13 21:00:00,2025-03-31 22:45:00,752
LSTM,12,G1,0.2561290069770001,0.7019623472873229,5.720342724219552,9.4808985000127,2025-03-13 21:00:00,2025-03-31 22:45:00,376
LSTM,12,G2,0.19547565877110903,0.6573768270812743,8.21974857372925,9.4808985000127,2025-03-13 21:00:00,2025-03-31 22:45:00,376
LSTM,12,Agregado,0.22580233287405463,0.680035083577521,6.970045648974402,9.4808985000127,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Línea base de persistencia,24,G1,0.27520655851063835,0.6044401689211081,4.517176737045586,5.079999391455203e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Línea base de persistencia,24,G2,0.16549870478723408,0.7895405778087852,8.214169272357012,5.079999391455203e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Línea base de persistencia,24,Agregado,0.2203526316489362,0.7031081857765589,6.365673004701298,5.079999391455203e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Random Forest,24,G1,0.241361961513233,0.6434072457041358,5.221337970341011,2.9771908999973675,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Random Forest,24,G2,0.1432248944470257,0.6535651854646771,7.854894451368469,2.9771908999973675,2025-03-13 21:00:00,2025-03-31 22:45:00,376
Random Forest,24,Agregado,0.19229342798012933,0.6485061046266488,6.538116210854739,2.9771908999973675,2025-03-13 21:00:00,2025-03-31 22:45:00,752
XGBoost,24,G1,0.27859139550594575,0.7511339773541814,5.974050947623202,0.35131209999963176,2025-03-13 21:00:00,2025-03-31 22:45:00,376
XGBoost,24,G2,0.13373568111582,0.6366042629477733,7.752597641916912,0.35131209999963176,2025-03-13 21:00:00,2025-03-31 22:45:00,376
XGBoost,24,Agregado,0.2061635383108829,0.696228137731875,6.863324294770057,0.35131209999963176,2025-03-13 21:00:00,2025-03-31 22:45:00,752
LSTM,24,G1,0.27156631831286815,0.7070227306996039,5.848312560282479,11.949521000002278,2025-03-13 21:00:00,2025-03-31 22:45:00,376
LSTM,24,G2,0.15947277164069637,0.6527136748241373,7.9628727030263855,11.949521000002278,2025-03-13 21:00:00,2025-03-31 22:45:00,376
LSTM,24,Agregado,0.2155195449767823,0.6804102744037432,6.905592631654432,11.949521000002278,2025-03-13 21:00:00,2025-03-31 22:45:00,752
